scenario,MC charger,usc_count_charge,usc_count_idle,usc_count_discharge,usc_count_total,MC discharger,MC store,MC renewables,scenario
0.0,1585.249420205014,2960.5,0.0,1242.125,4202.625,1604.2052278560075,1609.2197101072172,1604.2052278560075,accuracy1
1e-05,1571.8059702534006,2956.25,0.0,1248.0,4204.25,1580.9472396207116,1584.786139188527,1597.6237586843426,accuracy1
0.0001,1512.5578304830692,2962.3125,0.0,1239.3125,4201.625,1491.2483135362218,1470.506802643101,1517.9550384843528,accuracy1
0.001,1364.4080328323817,2915.75,0.0,1285.9375,4201.6875,1341.420916910829,1360.962208050935,1391.5714682461326,accuracy1
0.01,1307.2812978841173,2365.5,0.0,923.4375,3288.9375,1295.8549426854258,1290.6672029592862,1302.430058241658,accuracy1
0.1,1280.5596583593363,0.0,0.0,0.0,0.0,1282.392686873698,1278.7366946731777,1284.1729831778398,accuracy1
1.0,1273.08218837797,0.0,0.0,0.0,0.0,1273.8552551990238,1270.5822656629405,1275.0585492542061,accuracy1
10.0,1253.1998155179206,0.0,0.0,0.0,0.0,1256.7102181689136,1239.1221052056362,1262.441094032241,accuracy1
100.0,1112.4423020462973,0.0,0.0,0.0,0.0,1142.293939358288,917.4896663739767,1177.1826920029648,accuracy1
1000.0,457.44201661741926,0.0,0.0,0.0,0.0,501.49817382865604,416.90074719956107,575.5773988537779,accuracy1
0.0,1604.2052278560075,2954.6875,0.0,1253.6875,4208.375,1604.2052278560075,1609.2197101072172,1604.2052278560075,accuracy1
1e-05,1580.9472396207116,2952.3125,0.0,1253.5,4205.8125,1580.9472396207116,1584.786139188527,1597.6237586843426,accuracy1
0.0001,1491.2483135362218,2963.0625,0.0,1240.375,4203.4375,1491.2483135362218,1470.506802643101,1517.9550384843528,accuracy1
0.001,1341.420916910829,2891.3125,0.0,1295.625,4186.9375,1341.420916910829,1360.962208050935,1391.5714682461326,accuracy1
0.01,1295.8549426854258,1176.6875,0.0,190.375,1367.0625,1295.8549426854258,1290.6672029592862,1302.430058241658,accuracy1
0.1,1282.392686873698,0.0,0.0,0.0,0.0,1282.392686873698,1278.7366946731777,1284.1729831778398,accuracy1
1.0,1273.8552551990238,0.0,0.0,0.0,0.0,1273.8552551990238,1270.5822656629405,1275.0585492542061,accuracy1
10.0,1256.7102181689136,0.0,0.0,0.0,0.0,1256.7102181689136,1239.1221052056362,1262.441094032241,accuracy1
100.0,1142.293939358288,0.0,0.0,0.0,0.0,1142.293939358288,917.4896663739767,1177.1826920029648,accuracy1
1000.0,501.49817382865604,0.0,0.0,0.0,0.0,501.49817382865604,416.90074719956107,575.5773988537779,accuracy1
0.0,1609.2197101072172,2950.6875,0.0,1254.125,4204.8125,1604.2052278560075,1609.2197101072172,1604.2052278560075,accuracy1
1e-05,1584.786139188527,2947.0,0.0,1258.5625,4205.5625,1580.9472396207116,1584.786139188527,1597.6237586843426,accuracy1
0.0001,1470.506802643101,2950.4375,0.0,1253.875,4204.3125,1491.2483135362218,1470.506802643101,1517.9550384843528,accuracy1
0.001,1360.962208050935,2938.875,0.0,1238.0625,4176.9375,1341.420916910829,1360.962208050935,1391.5714682461326,accuracy1
0.01,1290.6672029592862,171.3125,0.0,15.5625,186.875,1295.8549426854258,1290.6672029592862,1302.430058241658,accuracy1
0.1,1278.7366946731777,0.0,0.0,0.0,0.0,1282.392686873698,1278.7366946731777,1284.1729831778398,accuracy1
1.0,1270.5822656629405,0.0,0.0,0.0,0.0,1273.8552551990238,1270.5822656629405,1275.0585492542061,accuracy1
10.0,1239.1221052056362,0.0,0.0,0.0,0.0,1256.7102181689136,1239.1221052056362,1262.441094032241,accuracy1
100.0,917.4896663739767,0.0,0.0,0.0,0.0,1142.293939358288,917.4896663739767,1177.1826920029648,accuracy1
1000.0,416.90074719956107,0.0,0.0,0.0,0.0,501.49817382865604,416.90074719956107,575.5773988537779,accuracy1
0.0,1604.2052278560075,2954.6875,0.0,1253.6875,4208.375,1604.2052278560075,1609.2197101072172,1604.2052278560075,accuracy1
1e-05,1597.6237586843426,2968.9375,0.0,1252.125,4221.0625,1580.9472396207116,1584.786139188527,1597.6237586843426,accuracy1
0.0001,1517.9550384843528,2955.75,0.0,1249.5,4205.25,1491.2483135362218,1470.506802643101,1517.9550384843528,accuracy1
0.001,1391.5714682461326,2950.4375,0.0,1249.5625,4200.0,1341.420916910829,1360.962208050935,1391.5714682461326,accuracy1
0.01,1302.430058241658,2169.5625,0.0,696.25,2865.8125,1295.8549426854258,1290.6672029592862,1302.430058241658,accuracy1
0.1,1284.1729831778398,0.0,0.0,0.0,0.0,1282.392686873698,1278.7366946731777,1284.1729831778398,accuracy1
1.0,1275.0585492542061,0.0,0.0,0.0,0.0,1273.8552551990238,1270.5822656629405,1275.0585492542061,accuracy1
10.0,1262.441094032241,0.0,0.0,0.0,0.0,1256.7102181689136,1239.1221052056362,1262.441094032241,accuracy1
100.0,1177.1826920029648,0.0,0.0,0.0,0.0,1142.293939358288,917.4896663739767,1177.1826920029648,accuracy1
1000.0,575.5773988537779,0.0,0.0,0.0,0.0,501.49817382865604,416.90074719956107,575.5773988537779,accuracy1
