scenario,MC charger,usc_count_charge,usc_count_idle,usc_count_discharge,usc_count_total,MC discharger,MC store,MC renewables,scenario
0.0,1612.7053138587441,3820.4375,0.0,1347.1875,5167.625,1602.3391169062263,1614.0586982329178,1612.7053138587441,base1
1e-05,1618.7676605024,3803.1875,0.0,1363.0,5166.1875,1621.2198835834347,1617.7644451912192,1611.4927098550286,base1
0.0001,1617.1351070086298,3781.0625,0.0,1393.0,5174.0625,1591.2446983757545,1577.868790181613,1589.831717529617,base1
0.001,1517.2591178502266,3832.1875,0.0,1319.9375,5152.125,1547.2657503598632,1454.551299969653,1540.9500181933001,base1
0.01,1393.643822324587,3750.75,0.0,1406.375,5157.125,1424.1276822213192,1349.755759370876,1397.1371908634394,base1
0.1,1293.0948309910582,2502.75,0.0,1094.4375,3597.1875,1302.6565110487004,1279.422149709121,1320.0318266744857,base1
1.0,1264.0793639792846,0.0,0.0,0.0,0.0,1267.358764263151,1261.320266849368,1266.7509479456874,base1
10.0,1244.892851060316,0.0,0.0,0.0,0.0,1248.6690739468625,1229.3701241124247,1253.9243099899618,base1
100.0,1107.296394049507,0.0,0.0,0.0,0.0,1136.7911871824656,912.1934684763273,1171.1753301583597,base1
1000.0,457.59923566308385,0.0,0.0,0.0,0.0,501.44561239581856,414.7420980628265,566.8573703118304,base1
0.0,1602.3391169062263,3818.8125,0.0,1350.3125,5169.125,1602.3391169062263,1614.0586982329178,1612.7053138587441,base1
1e-05,1621.2198835834347,3777.3125,0.0,1394.1875,5171.5,1621.2198835834347,1617.7644451912192,1611.4927098550286,base1
0.0001,1591.2446983757545,3807.25,0.0,1365.25,5172.5,1591.2446983757545,1577.868790181613,1589.831717529617,base1
0.001,1547.2657503598632,3784.75,0.0,1386.5,5171.25,1547.2657503598632,1454.551299969653,1540.9500181933001,base1
0.01,1424.1276822213192,3803.875,0.0,1357.0,5160.875,1424.1276822213192,1349.755759370876,1397.1371908634394,base1
0.1,1302.6565110487004,3165.0,0.0,1366.125,4531.125,1302.6565110487004,1279.422149709121,1320.0318266744857,base1
1.0,1267.358764263151,0.0,0.0,0.0,0.0,1267.358764263151,1261.320266849368,1266.7509479456874,base1
10.0,1248.6690739468625,0.0,0.0,0.0,0.0,1248.6690739468625,1229.3701241124247,1253.9243099899618,base1
100.0,1136.7911871824656,0.0,0.0,0.0,0.0,1136.7911871824656,912.1934684763273,1171.1753301583597,base1
1000.0,501.44561239581856,0.0,0.0,0.0,0.0,501.44561239581856,414.7420980628265,566.8573703118304,base1
0.0,1614.0586982329178,3832.5,0.0,1322.5625,5155.0625,1602.3391169062263,1614.0586982329178,1612.7053138587441,base1
1e-05,1617.7644451912192,3818.6875,0.0,1351.8125,5170.5,1621.2198835834347,1617.7644451912192,1611.4927098550286,base1
0.0001,1577.868790181613,3827.5625,0.0,1341.625,5169.1875,1591.2446983757545,1577.868790181613,1589.831717529617,base1
0.001,1454.551299969653,3796.0625,0.0,1315.625,5111.6875,1547.2657503598632,1454.551299969653,1540.9500181933001,base1
0.01,1349.755759370876,3735.6875,0.0,1397.3125,5133.0,1424.1276822213192,1349.755759370876,1397.1371908634394,base1
0.1,1279.422149709121,357.6875,0.0,29.3125,387.0,1302.6565110487004,1279.422149709121,1320.0318266744857,base1
1.0,1261.320266849368,0.0,0.0,0.0,0.0,1267.358764263151,1261.320266849368,1266.7509479456874,base1
10.0,1229.3701241124247,0.0,0.0,0.0,0.0,1248.6690739468625,1229.3701241124247,1253.9243099899618,base1
100.0,912.1934684763273,0.0,0.0,0.0,0.0,1136.7911871824656,912.1934684763273,1171.1753301583597,base1
1000.0,414.7420980628265,0.0,0.0,0.0,0.0,501.44561239581856,414.7420980628265,566.8573703118304,base1
0.0,1612.7053138587441,3820.4375,0.0,1347.1875,5167.625,1602.3391169062263,1614.0586982329178,1612.7053138587441,base1
1e-05,1611.4927098550286,3811.9375,0.0,1359.6875,5171.625,1621.2198835834347,1617.7644451912192,1611.4927098550286,base1
0.0001,1589.831717529617,3796.0625,0.0,1307.625,5103.6875,1591.2446983757545,1577.868790181613,1589.831717529617,base1
0.001,1540.9500181933001,3779.5,0.0,1371.4375,5150.9375,1547.2657503598632,1454.551299969653,1540.9500181933001,base1
0.01,1397.1371908634394,3782.3125,0.0,1313.8125,5096.125,1424.1276822213192,1349.755759370876,1397.1371908634394,base1
0.1,1320.0318266744857,3531.375,0.0,1486.4375,5017.8125,1302.6565110487004,1279.422149709121,1320.0318266744857,base1
1.0,1266.7509479456874,0.0,0.0,0.0,0.0,1267.358764263151,1261.320266849368,1266.7509479456874,base1
10.0,1253.9243099899618,0.0,0.0,0.0,0.0,1248.6690739468625,1229.3701241124247,1253.9243099899618,base1
100.0,1171.1753301583597,0.0,0.0,0.0,0.0,1136.7911871824656,912.1934684763273,1171.1753301583597,base1
1000.0,566.8573703118304,0.0,0.0,0.0625,0.0625,501.44561239581856,414.7420980628265,566.8573703118304,base1
